"emp_no","last_name","first_name","hire_date"
91774,"Pietracaprina","Hugo","1986-01-02"
433955,"Daescu","Niteen","1986-01-02"
59575,"Shumilov","Patricio","1986-01-02"
264819,"Erez","Jenwei","1986-01-02"
459282,"Suwa","Kousuke","1986-01-02"
215514,"Sidhu","Kien","1986-01-02"
464568,"Perry","Leucio","1986-01-02"
261507,"Driscoll","George","1986-01-02"
204004,"Ullian","Adamantios","1986-01-02"
58468,"Limongiello","Lucian","1986-01-02"
239305,"Brookman","Masoud","1986-01-02"
44574,"Brookner","Larisa","1986-01-02"
417078,"Sethi","Shigenori","1986-01-02"
47828,"Manders","Mayuri","1986-01-02"
436531,"Hiraishi","Taegyun","1986-01-02"
248952,"Snedden","Horward","1986-01-02"
33899,"Deville","Neelam","1986-01-02"
233231,"Merro","Hilari","1986-01-02"
498903,"Pluym","Aria","1986-01-02"
412814,"Dahlbom","Khalid","1986-01-02"
211104,"Simmen","Heeju","1986-01-02"
38810,"Roccetti","Pohua","1986-01-02"
92210,"Assaf","Kazuhito","1986-01-02"
478868,"Gecsei","Lijie","1986-01-02"
80701,"Domenig","Ramachenga","1986-01-02"
87400,"Berztiss","Lunjin","1986-01-02"
14104,"Demian","Sudhanshu","1986-01-02"
246379,"Hertweck","Odinaldo","1986-01-02"
221076,"Prenel","Richard","1986-01-02"
209531,"Itschner","Naftali","1986-01-02"
260242,"Turnbull","Ramzi","1986-01-02"
466372,"Chachaty","Marin","1986-01-02"
298078,"Naudin","Ewing","1986-01-02"
425997,"Besselaar","Elgin","1986-01-02"
96020,"Schwartzburd","Poorav","1986-01-02"
73834,"Zeilberger","Kerryn","1986-01-02"
233124,"Wendorf","Khoa","1986-01-02"
62480,"Stemann","Bedrich","1986-01-02"
239791,"Radwan","Luise","1986-01-02"
407214,"Erva","Nathalie","1986-01-02"
70832,"Gargeya","Zengping","1986-01-02"
454750,"Naudin","Fumitake","1986-01-02"
61124,"Waymire","Nechama","1986-01-02"
481350,"Crabtree","Ioana","1986-01-02"
241219,"Lovengreen","Lucian","1986-01-02"
63933,"Lanteri","Phuoc","1986-01-02"
238270,"Mattern","Oguz","1986-01-02"
255619,"Vesel","Rutger","1986-01-02"
22028,"Manderick","Serif","1986-01-02"
498613,"Hofmeyr","Adas","1986-01-02"
440548,"Eastman","Szabolcs","1986-01-02"
87756,"Pero","Adel","1986-01-02"
267387,"Ghemri","Mohammad","1986-01-02"
100004,"Nitsch","Avishai","1986-01-03"
282926,"Stemann","Tianruo","1986-01-03"
449323,"Fujisawa","Woody","1986-01-03"
491240,"Kemmerer","Sasan","1986-01-03"
424812,"Taneja","Martina","1986-01-03"
476493,"Dredge","Shahar","1986-01-03"
84329,"Lindqvist","Shugo","1986-01-03"
208663,"Heystek","Christoper","1986-01-03"
249136,"Borovoy","George","1986-01-03"
51525,"Rosay","Itzchak","1986-01-03"
99043,"Pagter","Ebbe","1986-01-03"
435043,"Gunderson","Eric","1986-01-03"
225683,"Castellani","Phillip","1986-01-03"
406336,"Heiserman","Nishit","1986-01-03"
213390,"Stroustrup","Vidya","1986-01-03"
430392,"Marrakchi","Jinya","1986-01-03"
486679,"Kavvadias","Aleksander","1986-01-03"
77045,"Perna","Arra","1986-01-03"
275998,"Silva","Hongzhu","1986-01-03"
444610,"Denos","Xuejun","1986-01-03"
99197,"Terlouw","Becky","1986-01-03"
259411,"Perry","Faiza","1986-01-03"
219769,"Munoz","Georg","1986-01-03"
278744,"Jeansoulin","Sergi","1986-01-03"
13728,"Swab","Insup","1986-01-03"
25972,"Escriba","Demos","1986-01-03"
457634,"Laurillard","Zhongwei","1986-01-03"
440545,"Tchuente","Slavian","1986-01-03"
458056,"Pocchiola","Garnet","1986-01-03"
247625,"Uhrik","Anoosh","1986-01-03"
101905,"Heuter","Ortrun","1986-01-03"
437414,"Kavvadias","Arnould","1986-01-03"
14969,"Himler","Hongzue","1986-01-03"
279430,"Verhaegen","Xianlong","1986-01-03"
299327,"Griswold","Alain","1986-01-03"
279488,"Vandervoorde","Aleksandar","1986-01-03"
289650,"Felder","Teunis","1986-01-03"
292851,"Gurbaxani","Qunsheng","1986-01-03"
446301,"Sichman","Hidde","1986-01-03"
75971,"Kisuki","Honesty","1986-01-03"
235377,"Kusalik","Guther","1986-01-03"
407078,"Aloia","Rosella","1986-01-03"
59094,"McDermid","Adin","1986-01-03"
25139,"Jiang","Aloke","1986-01-03"
40383,"Pepe","Subhash","1986-01-03"
493878,"Bala","Foong","1986-01-03"
229312,"Huhdanpaa","Yechezkel","1986-01-03"
435481,"Glinert","Aloke","1986-01-03"
432511,"Baalen","Ewing","1986-01-03"
71669,"Aumann","Sachio","1986-01-03"
265059,"Rothenberg","Trygve","1986-01-03"
68548,"Highland","Josyula","1986-01-03"
417602,"Bierbaum","Reinhard","1986-01-03"
435163,"Bharadwaj","Henk","1986-01-03"
63944,"Litecky","Bluma","1986-01-03"
290558,"Linares","Franziska","1986-01-03"
434441,"Miyakawa","Jahangir","1986-01-03"
69682,"Siksek","Gor","1986-01-03"
61515,"Curless","Mats","1986-01-03"
478084,"Standera","Kazuyasu","1986-01-03"
15285,"Veeraraghavan","Yurii","1986-01-03"
455336,"Hatcliff","Debaprosad","1986-01-03"
45514,"Alpin","Jessie","1986-01-03"
440322,"Wuwongse","Mingsen","1986-01-03"
220089,"Woycyznski","Kiyomitsu","1986-01-03"
74734,"Bierman","Stevo","1986-01-03"
51250,"Alpay","Leah","1986-01-03"
496753,"Syrzycki","Soenke","1986-01-03"
210845,"Rajala","Taiji","1986-01-03"
41857,"Beznosov","Munehiko","1986-01-03"
15038,"Dalphin","Weidon","1986-01-03"
108739,"Pesch","Gad","1986-01-03"
65835,"Beetstra","Arra","1986-01-03"
408754,"Linares","Adas","1986-01-03"
211618,"Rabehasaina","Tetsurou","1986-01-03"
23306,"Falco","Ziva","1986-01-03"
11378,"Katiyar","Masamitsu","1986-01-03"
447011,"Pashtan","Guangming","1986-01-03"
431325,"Egerstedt","Valter","1986-01-03"
57264,"Passino","Itzchak","1986-01-03"
68055,"Jansen","Narain","1986-01-03"
19044,"Narlikar","Berhard","1986-01-03"
487286,"Copas","Insup","1986-01-03"
481247,"Bednarek","Tonia","1986-01-03"
430475,"Trystram","Tonia","1986-01-03"
295025,"Chepyzhov","Ziyad","1986-01-03"
28746,"Maquelin","Steve","1986-01-03"
468147,"Chinal","Abdelaziz","1986-01-03"
225923,"Masada","Taiji","1986-01-03"
247060,"Bamford","Pranay","1986-01-03"
96828,"Sessa","Duri","1986-01-03"
409995,"Grospietsch","Tomoyuki","1986-01-03"
267135,"Cannata","Shigehiro","1986-01-03"
477880,"Furudate","Arvind","1986-01-03"
485166,"Heystek","Karoline","1986-01-03"
448364,"Sinitsyn","Xuedong","1986-01-03"
251579,"Bottner","Remmert","1986-01-03"
249999,"Nitto","Hyuckchul","1986-01-03"
75546,"Samarati","Geoffrey","1986-01-03"
278845,"Figueira","Maria","1986-01-03"
232681,"Heering","Florina","1986-01-03"
261900,"Randt","Zongyan","1986-01-03"
451794,"Constantine","Masali","1986-01-03"
209665,"Stentiford","Takanari","1986-01-03"
259215,"Sridhar","Annemarie","1986-01-03"
268018,"Boreale","Yechiam","1986-01-03"
26700,"Rindone","Poornachandra","1986-01-04"
215111,"Dahlbom","Sajjad","1986-01-04"
215032,"Chaudhuri","Limsoon","1986-01-04"
103861,"Hiltgen","Prodip","1986-01-04"
15325,"Sadowsky","Maia","1986-01-04"
294046,"Etalle","Genevieve","1986-01-04"
236435,"Tanemo","Munir","1986-01-04"
248237,"Usery","Zhonghui","1986-01-04"
497562,"Peral","Trygve","1986-01-04"
222587,"Chiola","Kiyokazu","1986-01-04"
240097,"Kitai","Godehard","1986-01-04"
49676,"Naumovich","Laurentiu","1986-01-04"
437074,"Falco","Jiang","1986-01-04"
74655,"Speek","Premsyl","1986-01-04"
270111,"Choobineh","Leen","1986-01-04"
31999,"Siksek","Stabislas","1986-01-04"
217603,"Hedayat","Chinho","1986-01-04"
240853,"Driscoll","Susuma","1986-01-04"
299541,"Compeau","Subbu","1986-01-04"
245135,"Burnard","Shirish","1986-01-04"
435273,"Michaels","Jiong","1986-01-04"
94912,"Kavanagh","Radhia","1986-01-04"
264477,"Orsini","Sigeru","1986-01-04"
263301,"Tetzlaff","Masasuke","1986-01-04"
259666,"Peac","Lobel","1986-01-04"
60230,"Gecseg","Naftali","1986-01-04"
293722,"Isard","Yongqiao","1986-01-04"
248295,"Rathonyi","Francesca","1986-01-04"
413195,"Halloran","Sachin","1986-01-04"
427540,"Eiter","Genevieve","1986-01-04"
444101,"Chelton","Valery","1986-01-04"
13531,"Sluis","Shuichi","1986-01-04"
244129,"Picaronny","Augustine","1986-01-04"
208439,"Rahier","Emdad","1986-01-04"
468270,"Atchley","Shaunak","1986-01-04"
90722,"Bolsens","Kensyu","1986-01-04"
247881,"Baba","Yuuichi","1986-01-04"
422406,"Muhlberg","Kamran","1986-01-04"
419862,"Bressoud","Odinaldo","1986-01-04"
421753,"Moffat","Giordano","1986-01-04"
277328,"Yurek","Mooi","1986-01-04"
63419,"Seuren","Hiroyasu","1986-01-04"
224944,"Narlikar","Marek","1986-01-04"
231067,"Isaak","Qingxiang","1986-01-04"
414978,"Jiafu","Sorina","1986-01-04"
99514,"Ecklund","Chiranjit","1986-01-04"
433806,"Hmelo","Conor","1986-01-04"
269425,"Picco","Muzhong","1986-01-04"
275029,"McDermid","Morris","1986-01-04"
88014,"Muchinsky","Rasikan","1986-01-04"
474251,"Brobst","Maik","1986-01-04"
294069,"Stellhorn","Fei","1986-01-04"
36923,"Jeong","Parviz","1986-01-04"
226857,"Calkin","Neelam","1986-01-04"
450316,"Hettesheimer","Shietung","1986-01-04"
219252,"Molberg","Urs","1986-01-04"
278186,"Rabejac","Golgen","1986-01-04"
271499,"Bael","Shim","1986-01-04"
281398,"Poujol","Randy","1986-01-04"
104467,"Panwar","Anoosh","1986-01-04"
20707,"Ciolek","Achilleas","1986-01-04"
95506,"Schicker","Charmane","1986-01-04"
480248,"Verhoeff","Valter","1986-01-04"
268156,"Itzfeldt","Mahendra","1986-01-04"
48595,"Encarnacion","Shan","1986-01-04"
431132,"Sudbeck","Ranga","1986-01-04"
254860,"Docker","Lansing","1986-01-04"
442996,"Baranowski","Alejandra","1986-01-04"
42728,"Melton","Moon","1986-01-04"
440036,"Vecchio","Pranav","1986-01-04"
105917,"England","Zhigen","1986-01-04"
282720,"Diderrich","Falguni","1986-01-04"
238044,"Conti","Leen","1986-01-04"
81144,"Heinisuo","Ashish","1986-01-04"
274140,"Radhakrishnan","Kiyokazu","1986-01-04"
298153,"Plavsic","Luigi","1986-01-04"
52856,"Speel","Kazuhide","1986-01-04"
457769,"Chaudhury","Serge","1986-01-04"
293091,"Rosch","Branimir","1986-01-04"
14695,"Cromarty","Udo","1986-01-04"
415169,"Selvestrel","Yishay","1986-01-04"
71026,"Remmele","Akhilish","1986-01-04"
216670,"Paludetto","Sreenivas","1986-01-04"
35788,"Burnard","Weiyi","1986-01-04"
238586,"Bednarek","Marek","1986-01-04"
96929,"Pollacia","Vidar","1986-01-04"
59268,"Besancenot","Berry","1986-01-04"
277472,"Lung","Bernd","1986-01-04"
217629,"Beeson","Bilhanan","1986-01-04"
246639,"Schiettecatte","Sergi","1986-01-04"
95876,"Rosaz","Nahla","1986-01-04"
53762,"Seghrouchni","Sanjai","1986-01-04"
265009,"Harbusch","Tze","1986-01-04"
240138,"Rajaraman","Berthier","1986-01-04"
286490,"Ranai","Gill","1986-01-04"
265900,"Skafidas","Alain","1986-01-04"
249644,"Nourani","Etsuo","1986-01-04"
36423,"Tibblin","Rosli","1986-01-04"
254361,"Levergood","Vugranam","1986-01-04"
39381,"Zizka","Remco","1986-01-04"
432566,"Orlowski","Dzung","1986-01-04"
61998,"Lunn","Ute","1986-01-04"
261298,"Ventosa","Ottavia","1986-01-04"
299593,"Panwar","Aron","1986-01-04"
222452,"Picco","Gaurav","1986-01-04"
248018,"Schmiedel","Brewster","1986-01-04"
469589,"Jervis","Parto","1986-01-04"
428037,"Felcyn","Dines","1986-01-05"
465117,"Seuren","Heon","1986-01-05"
72390,"Kilgore","Jianhao","1986-01-05"
17814,"Wilfing","Barna","1986-01-05"
63284,"Heuser","Zita","1986-01-05"
49557,"Staudhammer","Anoosh","1986-01-05"
485188,"Marrevee","Jianhao","1986-01-05"
35109,"Xiaoshan","Arup","1986-01-05"
72306,"Luga","Alexius","1986-01-05"
40124,"Benzmuller","Emran","1986-01-05"
482067,"Penz","Rosella","1986-01-05"
456722,"Lampe","Takahito","1986-01-05"
19915,"Snedden","Mohit","1986-01-05"
451787,"Gruenwald","Phuoc","1986-01-05"
97121,"Lindqvist","Kristina","1986-01-05"
265950,"Schicker","Eishiro","1986-01-05"
484360,"Gecsel","Jackson","1986-01-05"
290685,"Nations","Spyrose","1986-01-05"
292095,"Pramanik","Eben","1986-01-05"
205657,"Pepe","Gretta","1986-01-05"
453097,"Ossenbruggen","Brigham","1986-01-05"
27028,"Cooman","Magdalena","1986-01-05"
210014,"Scharstein","Jamaludin","1986-01-05"
490777,"Ritzmann","Apostol","1986-01-05"
483417,"Rosca","Jungsoon","1986-01-05"
12204,"Mattern","Menkae","1986-01-05"
254388,"Beausoleil","Leaf","1986-01-05"
241689,"Borovoy","Tristan","1986-01-05"
459597,"McDermid","Mohan","1986-01-05"
477671,"Segond","Mikhail","1986-01-05"
412687,"Smeets","Mingzeng","1986-01-05"
109885,"Sessa","Mooi","1986-01-05"
104788,"Serov","Mabo","1986-01-05"
291651,"Baaleh","Ortrun","1986-01-05"
209312,"Colorni","Junichi","1986-01-05"
98973,"Quittner","Aemilian","1986-01-05"
86946,"Weedman","Toshimi","1986-01-05"
101269,"Suessmith","Subir","1986-01-05"
75533,"Coorg","Tomoyuki","1986-01-05"
12779,"Birrer","Miomir","1986-01-05"
96410,"Brobst","Shuho","1986-01-05"
268862,"Rassart","Jianhui","1986-01-05"
83627,"Lung","Subhada","1986-01-05"
409583,"Markovitch","Rosella","1986-01-05"
107862,"Speckmann","Siamak","1986-01-05"
100725,"Maliniak","Zvonko","1986-01-05"
463896,"Thummel","Masanao","1986-01-05"
78020,"Lorie","Moie","1986-01-05"
37217,"Luit","Nathalie","1986-01-05"
226347,"Rosch","Yucel","1986-01-05"
283009,"Erde","Mitchel","1986-01-05"
486964,"Barinka","Chiradeep","1986-01-05"
469998,"Viele","Christoper","1986-01-05"
282084,"Chinen","Gil","1986-01-05"
455435,"Pelz","Berthier","1986-01-05"
449516,"Birge","Ziyad","1986-01-05"
37132,"Merkl","Satoru","1986-01-05"
105775,"Fontan","Abdelaziz","1986-01-05"
457799,"Veccia","Shakhar","1986-01-05"
231776,"Solares","Lech","1986-01-05"
444500,"Fendler","Remzi","1986-01-05"
83643,"Tsukune","Jinxi","1986-01-05"
435245,"Coullard","Christoph","1986-01-05"
284579,"Kambil","Paddy","1986-01-05"
414466,"Chinal","Sastry","1986-01-05"
261635,"Ruther","Amalendu","1986-01-05"
207569,"Kadhim","Vitali","1986-01-05"
72761,"Schlegelmilch","Arto","1986-01-05"
466887,"Langford","Barry","1986-01-05"
485966,"Schaad","Mingsen","1986-01-05"
437310,"Skafidas","Shuichi","1986-01-05"
471910,"Massonet","Jeong","1986-01-05"
63128,"Gulak","Zhensheng","1986-01-05"
491288,"Panwar","Yakkov","1986-01-05"
10585,"Willoner","Sajjad","1986-01-05"
491658,"Masamoto","Shushma","1986-01-05"
14551,"Sinitsyn","Richard","1986-01-05"
71312,"Arlazarov","Toshimitsu","1986-01-05"
248985,"Demke","Arto","1986-01-05"
444650,"Ghelli","Cristinel","1986-01-05"
221898,"Peek","Tesuya","1986-01-05"
232141,"Lenart","Tesuya","1986-01-05"
252573,"Guardalben","Rafael","1986-01-05"
435465,"Boguraev","Gio","1986-01-05"
422860,"Quaggetto","Divier","1986-01-05"
92879,"Hellwagner","Mana","1986-01-05"
235438,"Badr","Armond","1986-01-05"
462051,"Stemann","Jayesh","1986-01-05"
475681,"Kinley","Dinkar","1986-01-05"
95368,"Sichman","Arco","1986-01-05"
228955,"Cincotta","Jianhui","1986-01-05"
15928,"Feinberg","Bangqing","1986-01-05"
54789,"Boyle","Munehiro","1986-01-05"
460249,"Wynblatt","Munir","1986-01-05"
62872,"Zwicker","Kitty","1986-01-05"
23710,"Falco","Hugh","1986-01-05"
416135,"Luon","Sailaja","1986-01-05"
109385,"Bernini","Valery","1986-01-05"
66756,"Nyrup","Xiaoqiu","1986-01-05"
273638,"Farrar","Chikara","1986-01-06"
292230,"Bade","Fay","1986-01-06"
288340,"Rosin","Moheb","1986-01-06"
207854,"Assaf","Kazuhito","1986-01-06"
448264,"Bugrara","Takanari","1986-01-06"
251924,"Rattan","Tristan","1986-01-06"
420824,"Schiettecatte","Hausi","1986-01-06"
424765,"Azevdeo","Lillian","1986-01-06"
492899,"Sevcikova","Tua","1986-01-06"
79702,"Mattern","Arie","1986-01-06"
298116,"Zhang","Gaetan","1986-01-06"
278224,"Coombs","Tsuneo","1986-01-06"
237579,"Simmen","Surveyors","1986-01-06"
254956,"Huttel","Kitty","1986-01-06"
57897,"Kranzdorf","Kwok","1986-01-06"
98661,"Bernardeschi","Nahid","1986-01-06"
25077,"Preusig","Kenroku","1986-01-06"
63409,"Pelz","Fuqing","1986-01-06"
204677,"Muhling","Tetsushi","1986-01-06"
44379,"Perelgut","Xinglin","1986-01-06"
17696,"Kusalik","Feiyu","1986-01-06"
50799,"Schmiedel","Maja","1986-01-06"
485367,"Comellas","Carrsten","1986-01-06"
26935,"Przulj","Moti","1986-01-06"
16281,"Gustavson","Lenore","1986-01-06"
484491,"Maierhofer","Atreye","1986-01-06"
54198,"Segond","Shaowen","1986-01-06"
56425,"Erde","Shih","1986-01-06"
413786,"Gulak","Uinam","1986-01-06"
264713,"Birge","Hatem","1986-01-06"
98230,"Castellani","Renee","1986-01-06"
234650,"Erie","Mototsugu","1986-01-06"
421159,"Madeira","Hilary","1986-01-06"
274315,"Ventosa","Tiina","1986-01-06"
52770,"Yurek","Shugo","1986-01-06"
51455,"Schnabel","Jinpo","1986-01-06"
465391,"Foote","Dipankar","1986-01-06"
29293,"Gajiwala","Mario","1986-01-06"
218198,"Ibel","Yinghua","1986-01-06"
295796,"Trachtenberg","Ewing","1986-01-06"
484231,"Peck","Lunjin","1986-01-06"
76534,"Lieberherr","Pantung","1986-01-06"
403595,"Thimonier","Maris","1986-01-06"
59200,"Rehfuss","Kinh","1986-01-06"
296719,"Vecchio","Indrajit","1986-01-06"
66229,"Mayerwieser","Dannz","1986-01-06"
441927,"Oxman","Diederik","1986-01-06"
61315,"Kalloufi","Kwun","1986-01-06"
52212,"Piancastelli","Uno","1986-01-06"
439975,"Emiris","Harngdar","1986-01-06"
49472,"Hitomi","Dipankar","1986-01-06"
50446,"Denti","Eberhardt","1986-01-06"
421872,"Azulay","Phule","1986-01-06"
14265,"Roison","Jaber","1986-01-06"
33565,"Heyers","Aloys","1986-01-06"
10757,"Simkin","Florina","1986-01-06"
267633,"Etalle","Adamantios","1986-01-06"
460273,"Impagliazzo","Kenroku","1986-01-06"
265746,"Noriega","Koichi","1986-01-06"
458028,"Rabejac","Divier","1986-01-06"
422513,"Vernadat","Morrie","1986-01-06"
35740,"Hitomi","Mohan","1986-01-06"
426468,"Kornyak","Kensyu","1986-01-06"
93086,"Lubachevsky","Arco","1986-01-06"
58804,"Wrigley","Leif","1986-01-06"
38260,"Vieri","Torsten","1986-01-06"
61654,"Clouatre","Maris","1986-01-06"
205960,"Benveniste","Mohit","1986-01-06"
260302,"Velasco","Munir","1986-01-06"
250801,"Carrere","Remco","1986-01-06"
422688,"Schnelling","Margareta","1986-01-06"
231967,"Kandlur","Tesuro","1986-01-06"
492245,"Savasere","Nidapan","1986-01-06"
244388,"Perin","Tonny","1986-01-06"
82918,"Uludag","Charlene","1986-01-06"
474040,"Armand","Ramachenga","1986-01-06"
445380,"Smeets","Morrie","1986-01-06"
255107,"Furudate","Tomokazu","1986-01-06"
446030,"Peris","Mahmut","1986-01-06"
241744,"Luby","Sadun","1986-01-06"
286709,"Kowalchuk","Abdelaziz","1986-01-06"
265754,"Schiettecatte","Arunachalam","1986-01-06"
454775,"Rikino","Feipei","1986-01-06"
269049,"Furudate","Felicidad","1986-01-06"
250216,"Schueller","Navid","1986-01-06"
485340,"Bael","Mansur","1986-01-06"
288341,"Koshiba","Aris","1986-01-06"
88524,"Einsfeld","Zorica","1986-01-06"
69329,"Loncour","Zhensheng","1986-01-06"
39725,"Morton","Filipp","1986-01-06"
296304,"Larfeldt","Stevo","1986-01-06"
35345,"Tiemann","Divier","1986-01-06"
226205,"Rosay","Sedat","1986-01-06"
77665,"Fargier","Paddy","1986-01-06"
200842,"Manders","Nishit","1986-01-06"
408452,"Valette","Toshimori","1986-01-06"
59560,"Roisin","Shuho","1986-01-06"
273960,"Bazzichi","Feipei","1986-01-06"
407039,"Chachaty","Juichirou","1986-01-06"
488363,"Mersereau","Lucian","1986-01-06"
473471,"Basawa","Stabislas","1986-01-06"
218874,"Cappello","Jordanka","1986-01-06"
442853,"Lalonde","Chenye","1986-01-06"
474485,"Gente","Francoise","1986-01-06"
31159,"Brandsma","Berto","1986-01-06"
464428,"Hutton","Evgueni","1986-01-06"
93634,"Chelton","Dietrich","1986-01-06"
405832,"Bellone","Dante","1986-01-06"
420799,"Menyhert","Bernt","1986-01-06"
219814,"Prenel","Takahiro","1986-01-07"
210135,"Poulakidas","Karsten","1986-01-07"
250915,"Levergood","Avishai","1986-01-07"
490630,"Lenart","Sadok","1986-01-07"
479270,"Comte","Lobel","1986-01-07"
71100,"Karnin","Taisook","1986-01-07"
44922,"Levasseur","Kellyn","1986-01-07"
465779,"Gopalakrishnan","Masato","1986-01-07"
286419,"Gips","Martine","1986-01-07"
49973,"Billawala","Stabislas","1986-01-07"
405935,"Thimonier","Saddek","1986-01-07"
422729,"Hagimont","Roded","1986-01-07"
236803,"Ranft","Chirstian","1986-01-07"
98429,"Olivero","Heping","1986-01-07"
79642,"Roohalamini","Denis","1986-01-07"
428552,"Berendt","Shigeaki","1986-01-07"
221075,"Makrucki","Sajjad","1986-01-07"
